absolute permalink,絶対パーマリンク,,
additional information,追加情報,,
Alternate Direction,代替方向,,
alternative formats,代替フォーマット,,
Alternative Templating Languages,代替テンプレート言語,,
alternative views,代替ビュー,,
appservice,アプリサービス,,
archetype,アーキタイプ,,
archetypes,アーキタイプ,,
article,記事,,
Asset bundling,アセットバンドル,,
Asset directory,アセットディレクトリ,,
Asset file,アセットファイル,,
Asset Publishing,アセット公開,,
Assumptions,前提条件,,
at intervals,定期的に,,
autocompletion script ,オートコンプリート スクリプト,,
Automatic builds,自動ビルド,,
Automatic Loading,オートローディング,,
automatic redirection,自動リダイレクト,,
Babel,Babel,,
backing map,バッキング マップ,,
Base Templates and Blocks,ベーステンプレートとブロック,,
basic content files,基本コンテンツファイル,,
block constructs,ブロック構造,,
block templates,ブロックテンプレート,,
Blockquotes,ブロック引用,,
boolean,ブール値,,
boolean operators,ブール演算子,,
Branch Bundle,ブランチバンドル,,
browser,ブラウザ,,
browser script,ブラウザ スクリプト,,
Build,ビルドする (構築する),,
Build Option,ビルドオプション,,
Build Performance,ビルド性能,,
Build Presets,ビルドプリセット,,
build script ,ビルドスクリプト,,
built-in,組み込み,,
Bypassing,回避する,,
cache files,キャッシュ ファイル,,
Caching,キャッシュ化,,
caching capabilities,キャッシュ機能,,
caching directory,キャッシュ ディレクトリ,,
casing,ケーシング,大文字表記,
chained pipeline,チェーン パイプライン,,
chrome of the page,ページのクロム,？,
CJK,日中韓 (CJK),,
Clauses,句,,
clone the repo,リポジトリのクローン,,
closed,クローズド,,
Closing,終了,,
Cloud provider,クラウド プロバイダー,,
Code Blocks,コードブロック,,
code highlighting,コードのハイライト表示,,
code points,コードポイント,,
code snippet,コード スニペット,,
collaborators,協力者,,
comment block,コメントブロック,,
comment injection,コメント インジェクション,,
Commercial Services,商用サービス,,
commit log,コミットログ,,
commit message,コミットメッセージ,,
Community Projects,コミュニティ プロジェクト,,
completion,補完,,
concurrency issue,同時実行の問題,,
configuration environment variables,コンフィギュレーション環境変数,,
Configuration format specs,設定ファイルのフォーマット仕様,,
configuration lookup order,設定ファイルの検索順序,,
configuration settings,コンフィギュレーション設定,,
configuration variables,設定変数,,
Configure Languages,言語を設定する,,
constructs,構成,構造体,
content archetypes,コンテンツ アーキタイプ,,
content body ,コンテンツの本文,,
Content Directory,コンテンツディレクトリ,,
content entries,コンテンツエントリ,,
Content File,コンテンツファイル,,
Content Format,コンテンツフォーマット,,
Content item,コンテンツアイテム,,
Content List,コンテンツリスト,,
Content Management,コンテンツ管理,,
Content Organization,コンテンツ構成,,
Content page,コンテンツページ,,
content renderer ,コンテンツ レンダラー,,
Content Sections,コンテンツセクション,,
Content Summaries,コンテンツサマリー,,
content teams,コンテンツ チーム,,
content templates,コンテンツ テンプレート,,
content type,コンテンツタイプ,,
content view,コンテンツビュー,,
content view templates,コンテンツビュー テンプレート,,
context,コンテキスト,,
continuous deployment,継続的デプロイ,,
continuous deploys,継続的デプロイ,,
Contribute to ,に貢献する,,
Contribution Guide,貢献ガイド,,
contribution guidelines,貢献ガイドライン,,
Contribution Workflow,貢献ワークフロー,,
contributor license agreement,貢献者ライセンス同意書,,
contributors,貢献者,コントリビューター,
Cross Reference,クロスリファレンス,相互参照,
current context,現在のコンテキスト,,
current directory,カレントディレクトリ,,
custom data,カスタムデータ,,
Custom Domain,カスタムドメイン,,
custom domains,カスタムドメイン,,
custom layouts ,カスタム レイアウト,,
custom metadata,カスタム メタデータ,,
custom shortcodes,カスタム ショートコード,,
custom taxonomy,カスタム タクソノミー,,
custom text format,カスタムテキスト形式,,
Data Templates,データテンプレート,,
Data-driven Content,データ駆動型コンテンツ,,
defang,無害化する,,
default ordering,デフォルトの順序付け,,
default sort,デフォルトのソート,,
Default Templates,デフォルトのテンプレート,,
delimiter,区切り文字,区切り記号,デリミタ
Deploy,デプロイ,,
deploy hook,デプロイフック,,
deploy token ,デプロイトークン,,
Deployment,デプロイ,,
deployment,デプロイメント,,
deployment target,デプロイ ターゲット,,
DEPRECATED,非推奨,,
Description,説明文,,
Developer tool,デベロッパーツール,,
Diagram,ダイアグラム ,,
Directives,ディレクティブ,,
directory entry,ディレクトリ エントリ,,
Docs,ドキュメント,,
Documentation,ドキュメント作成,,
domain mapping,ドメイン マッピング,,
draft,下書き,,
draft mode,ドラフトモード,,
dry,ドライ,,
dry run,ドライラン (予行演習),,
duration number,継続時間の値,,
dynamic path,動的パス,,
Editor,エディター,,
Editor Plug-ins,エディター プラグイン,,
Embedded rss.xml,埋め込み型 rss.xml,,
empty string,空文字列,,
entry,エントリ,,
experimental,実験的な機能,,
expiration date,有効期限,,
fallback,フォールバック,,
file cache,ファイルキャッシュ,,
File Location,ファイルの場所,,
File Variables,ファイル変数,,
filter,フィルター,,
filter chain,フィルターチェーン,,
Filtering,フィルタリング,,
Filters,フィルタリングします,,
filters to title casing,タイトルケーシングにフィルタリング,,
Fingerprinting,フィンガープリント,,
Folder,フォルダー,,
fork repository,フォーク リポジトリ,,
format contents,フォーマットコンテンツ,,
format listing,形式リスト,,
Formatting,書式設定,,
formatting layouts,フォーマット レイアウト,,
formatting verbs,フォーマット動詞,,
forward slash,フォワードスラッシュ,,
Frequently Asked Questions,よくある質問,,
Front Matter,フロントマター,,
Front Matter Cascade,フロントマターのカスケード,,
Front Matter field,フロントマター フィールド,,
Front Matter Format ,フロントマターのフォーマット,,
Front Matter Format Specs,フロントマターのフォーマット仕様,,
Front Matter method,フロントマター メソッド,,
front matter param,フロントマター パラメータ,,
Frontends,フロントエンド,,
Function,関数,,
fuzzy matching,ファジーマッチング,,
generator tag,ジェネレーター タグ,,
Git Info Variables,GIt Info 変数,,
Git Variables,Git 変数,,
git-backed,Git ベースの,,
GitHub Action,GitHub Actions,,
Github Action Workflow ,Github Actions のワークフロー,,
global access,グローバル アクセス,,
global context,グローバル コンテキスト,,
global Resources,グローバル リソース,,
Go docs,Go ドキュメント,,
Go Modules ,Go モジュール,,
Google Analytics,Google アナリティクス,,
gotchas,「落とし穴」,,
Group Content,グループコンテンツ,,
group methods,グループメソッド,,
Grouping,グループ化,,
Header link,ヘッダーリンク,,
Headings,見出し,,
Headless Bundle,ヘッドレス バンドル,,
help pages,ヘルプページ,,
highlight,ハイライト表示する,,
Highlight Shortcode,ハイライト ショートコード,,
highlighter,ハイライター,,
highlighting shortcode,ハイライト ショートコード,,
Homepage Template,ホームページ テンプレート,,
hook template,フックテンプレート,,
Hosting,ホスティング,,
hosting environment,ホスティング環境,,
Hugo Modules,Hugo モジュール,,
Hugo Themes,Hugo テーマ,,
humanize,人間化した,,
Identifier,識別子,,
Image Filters,画像フィルター,,
image page resources,画像ページのリソース,,
Image Processing,画像処理,,
Image Processing Config,画像処理の設定,,
imaging configuration,画像設定,,
index file,インデックス ファイル,,
index object,インデックス オブジェクト,,
index page,インデックスページ,,
Initial Caps,イニシャルキャップ,各単語の最初の文字を全て大文字にする表記法,
injection vector,インジェクション ベクトル,,
Inline Shortcodes,インライン ショートコード,,
installation guide,インストールガイド,,
integrity string,integrity 文字列,MDN Web Docs より,
interface,インターフェイス,,
Internal Templates,内部テンプレート,,
introduction,はじめに,,
Invalid,無効,,
invalidation,無効化,,
iteration,反復処理,,
JavaScript Building,JavaScript のビルド,,
Key value,キー値,,
Last Modified Date,最終更新日,,
Leaf Bundle,リーフバンドル,,
list,一覧表示する,,
list context,リスト コンテキスト,,
List Page Templates,リストページ テンプレート,,
list parameters,リストパラメータ,,
List Templates,リストテンプレート,,
live channel,ライブチャンネル,,
Live reload,ライブリロード,,
local branches,ローカル ブランチ,,
local clone,ローカル クローン,,
Local File Templates,ローカルファイル テンプレート,,
local scope,ローカル スコープ,,
local timezones,ローカル タイムゾーン,,
lookup order,検索順序,,
maintainer,メンテナー,,
Manual Deploy,手動デプロイ,,
Markdown,Markdown,,
master repository,master リポジトリ,,
master template,マスターテンプレート,,
matrix build ,マトリックス ビルド,,
Media Type,メディアタイプ,,
menu bar,メニューバー,,
Menu entry,メニューエントリ,,
Menu Entry Properties,メニューエントリ プロパティ,,
menu item,メニュー項目,,
menu template,メニュー テンプレート,,
Menu Templates,メニューテンプレート,,
Metric Name,指標名,,
Migrations,移行,,
migrator.,移行ツール,,
minification,ミニファイ,,
Minify,ミニファイ,,
Modifications,変更,,
Module cache,モジュールキャッシュ,,
module dependency graph,モジュール依存関係グラフ,,
mount option,マウント オプション,,
multilingual,多言語対応,,
multilingual feature,多言語機能,,
multilingual project,多言語プロジェクト,,
Multilingual Themes support,多言語テーマへの対応,,
N.B.,注意せよ,,
Named Parameters,名前付きパラメータ,,
NB.,注意:,,
Nesting,ネスト,,
non-page,非ページ,,
Note:,注意:,,
Opening,開始,,
order,順序付けする,,
Order Content,コンテンツを並べる,,
ordered parameters,順序付きパラメータ,,
ordering,順序付け,,
Ordering and Grouping Hugo Lists,Hugo リストの順序付けとグループ化,,
Ordering method,順序付け方法,,
Organization of Content Source,コンテンツソースの構成,,
organization structure ,組織構造,,
output formats,出力形式,,
override,オーバーライドする,,
overwrite,上書きする,,
package manager,パッケージ マネージャー,,
Page Bundles,ページバンドル,,
page collection,ページ コレクション,,
Page Content,ページコンテンツ,,
Page Context,ページコンテクスト,,
Page Field,ページフィールド,,
Page Kind,ページの種類,,
Page Lookup,ページ参照,,
Page Parameter,ページパラメータ,,
Page Resources,ページリソース,,
Page Variables,ページ変数,,
Page-level Params,ページレベルのパラメータ,,
